movie_title,tomatoUserRating,tomatoRating,tomatoReviews,tomatoFresh,tomatoRotten,tomatoUserMeter,tomatoUserReviews,imdbVotes,Metascore
Avatar,4.1,7.5,293,244,49,82,1379641,899776,83
Pirates of the Caribbean At Worlds End,,,,,,,,,
Spectre,3.5,6.4,308,200,108,62,104621,284128,60
The Dark Knight Rises,4.3,8,334,290,44,90,1207252,1161168,78
Star Wars Episode VII  The Force Awakens,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24,N/A
John Carter,3.5,5.7,219,111,108,60,113898,214656,51
SpiderMan 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,N/A
Tangled,4.1,7.5,216,193,23,87,148719,300757,71
Avengers Age of Ultron,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,N/A
Harry Potter and the HalfBlood Prince,,,,,,,,,
Batman v Superman Dawn of Justice,3.6,4.9,346,95,251,64,224432,414538,44
Superman Returns,3.3,7,258,195,63,61,516214,242496,72
Quantum of Solace,3.4,6.1,280,182,98,58,430971,336310,58
Pirates of the Caribbean Dead Mans Chest,,,,,,,,,
The Lone Ranger,3.3,4.8,224,69,155,51,136574,184696,37
Man of Steel,3.9,6.2,301,167,134,75,443308,557231,55
The Chronicles of Narnia Prince Caspian,3.7,6.3,188,126,62,73,552409,152729,62
The Avengers,4.4,8,318,292,26,91,1128810,1016311,69
Pirates of the Caribbean On Stranger Tides,3.5,5,259,84,175,54,198113,376474,45
Men in Black 3,3.8,6,234,159,75,70,756817,271066,58
The Hobbit The Battle of the Five Armies,3.9,6.2,232,138,94,75,213308,363235,59
The Amazing SpiderMan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A
Robin Hood,3.5,5.4,239,103,136,58,264819,214754,53
The Hobbit The Desolation of Smaug,4.1,6.8,222,165,57,85,262446,493550,66
The Golden Compass,3.2,5.6,192,82,110,51,350289,151190,51
King Kong,2.8,7.7,258,216,42,50,33765547,318711,81
Titanic,3.3,8,178,157,21,69,35794996,806925,74
Captain America Civil War,4.3,7.6,323,291,32,89,168963,339754,75
Battleship,3.3,4.6,212,72,140,54,456074,204005,41
Jurassic World,3.9,6.7,296,211,85,78,222637,429372,59
Skyfall,4.1,8.2,347,321,26,86,371718,530593,81
SpiderMan 2,,,,,,,,,
Iron Man 3,4,7,291,230,61,79,480427,567520,62
Alice in Wonderland,3.5,5.7,262,135,127,55,479495,312407,53
XMen The Last Stand,,,,,,,,,
Monsters University,4,6.8,189,148,41,81,304210,240364,65
Transformers Revenge of the Fallen,3.5,3.9,243,47,196,58,4080211,325860,35
Transformers Age of Extinction,3.2,3.9,184,33,151,51,222884,245350,32
Oz the Great and Powerful,3.4,6,247,146,101,56,292661,177084,44
The Amazing SpiderMan 2,,,,,,,,,
TRON Legacy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39,N/A
Cars 2,3.3,5.5,205,80,125,50,102251,102824,57
Green Lantern,3.1,4.6,226,59,167,45,148501,226403,39
Toy Story 3,4.3,8.9,290,286,4,89,604029,555480,92
Terminator Salvation,3.3,5,268,88,180,54,884085,289615,49
Furious 7,4.1,6.6,233,185,48,83,193736,284279,67
World War Z,3.7,6.2,257,173,84,72,303872,473619,63
XMen Days of Future Past,,,,,,,,,
Star Trek Into Darkness,4.2,7.5,265,228,37,90,311048,403676,72
Jack the Giant Slayer,3.4,5.7,197,102,95,55,92216,108171,51
The Great Gatsby,3.7,5.8,264,127,137,67,208490,370449,55
Prince of Persia The Sands of Time,3.4,5,215,77,138,58,436593,225891,50
Pacific Rim,3.9,6.6,264,188,76,77,191975,385277,64
Transformers Dark of the Moon,3.5,4.9,246,87,159,55,256278,329469,42
Indiana Jones and the Kingdom of the Crystal Skull,3.3,6.9,259,200,59,54,1319203,338484,65
The Good Dinosaur,3.6,6.5,184,141,43,66,57552,69145,66
Brave,3.9,7,229,179,50,76,277818,279784,69
Star Trek Beyond,3.9,6.9,244,204,40,82,67555,106133,68
WALLE,,,,,,,,,
Rush Hour 3,3.4,4.1,156,28,128,63,582152,122420,44
2012,3.2,5,238,94,144,46,507721,286895,49
A Christmas Carol,3.2,5.9,188,102,86,58,775810,73858,55
Jupiter Ascending,2.9,4.3,229,59,170,38,94588,142565,40
The Legend of Tarzan,3.6,5,198,71,127,62,55405,80540,44
The Chronicles of Narnia The Lion the Witch and the Wardrobe,3.1,6.9,210,160,50,61,34104183,291789,75
XMen Apocalypse,,,,,,,,,
The Dark Knight,4.4,8.6,317,298,19,94,1824568,1713318,82
